uri_o1	label_o1	uri_o2	label_o2	score
http://human.owl#NCI_C33286	pectoralis muscle	http://mouse.owl#MA_0002423	pectoralis muscle	1.0
http://human.owl#NCI_C33285	pectoralis minor	http://mouse.owl#MA_0002355	pectoralis minor	1.0
http://human.owl#NCI_C33297	perilymph	http://mouse.owl#MA_0002529	perilymph	1.0
http://human.owl#NCI_C33300	perineal muscle	http://mouse.owl#MA_0000538	perineal muscle	1.0
http://human.owl#NCI_C33314	peroneal artery	http://mouse.owl#MA_0002018	peroneal artery	1.0
http://human.owl#NCI_C33317	phalanx	http://mouse.owl#MA_0000304	phalanx	1.0
http://human.owl#NCI_C33321	pia mater	http://mouse.owl#MA_0001116	pia mater	1.0
http://human.owl#NCI_C33430	purkinje fiber	http://mouse.owl#MA_0000096	purkinje fiber	1.0
http://human.owl#NCI_C33337	popliteal artery	http://mouse.owl#MA_0002021	popliteal artery	1.0
http://human.owl#NCI_C33339	popliteal vein	http://mouse.owl#MA_0002197	popliteal vein	1.0
http://human.owl#NCI_C33341	portal lobule	http://mouse.owl#MA_0002498	portal lobule	1.0
http://human.owl#NCI_C33342	portal triad	http://mouse.owl#MA_0002499	portal triad	1.0
http://human.owl#NCI_C33343	portal vein	http://mouse.owl#MA_0002198	portal vein	1.0
http://human.owl#NCI_C33356	posterior commissure	http://mouse.owl#MA_0002743	posterior commissure	1.0
http://human.owl#NCI_C33357	posterior communicating artery	http://mouse.owl#MA_0002023	posterior communicating artery	1.0
http://human.owl#NCI_C33378	posterior semicircular canal	http://mouse.owl#MA_0001209	posterior semicircular canal	1.0
http://human.owl#NCI_C33386	posterior tibial vein	http://mouse.owl#MA_0002245	posterior tibial vein	1.0
http://human.owl#NCI_C33420	psoas major	http://mouse.owl#MA_0002358	psoas major	1.0
http://human.owl#NCI_C33422	psoas muscle	http://mouse.owl#MA_0002553	psoas muscle	1.0
http://human.owl#NCI_C33421	psoas minor	http://mouse.owl#MA_0002359	psoas minor	1.0
http://human.owl#NCI_C33242	ovarian artery	http://mouse.owl#MA_0002012	ovarian artery	1.0
http://human.owl#NCI_C33207	olfactory tract	http://mouse.owl#MA_0000975	olfactory tract	1.0
http://human.owl#NCI_C33194	occipital artery	http://mouse.owl#MA_0002009	occipital artery	1.0
http://human.owl#NCI_C33190	obturator artery	http://mouse.owl#MA_0002008	obturator artery	1.0
http://human.owl#NCI_C32984	levator ani	http://mouse.owl#MA_0002332	levator ani	1.0
http://human.owl#NCI_C32992	liver acinus	http://mouse.owl#MA_0002496	liver acinus	1.0
http://human.owl#NCI_C32998	lobar bronchus	http://mouse.owl#MA_0000437	lobar bronchus	1.0
http://human.owl#NCI_C33511	saphenous vein	http://mouse.owl#MA_0002215	saphenous vein	1.0
http://human.owl#NCI_C33006	loop of henle	http://mouse.owl#MA_0001675	loop of henle	1.0
http://human.owl#NCI_C33028	lymph node capsule	http://mouse.owl#MA_0000739	lymph node capsule	1.0
http://human.owl#NCI_C33029	lymph node cortex	http://mouse.owl#MA_0000740	lymph node cortex	1.0
http://human.owl#NCI_C33043	macula densa	http://mouse.owl#MA_0002603	macula densa	1.0
http://human.owl#NCI_C33045	macula of saccule	http://mouse.owl#MA_0001201	macula of saccule	1.0
http://human.owl#NCI_C33503	saccule	http://mouse.owl#MA_0000246	saccule	1.0
http://human.owl#NCI_C33046	macula of utricle	http://mouse.owl#MA_0001203	macula of utricle	1.0
http://human.owl#NCI_C33844	utricle	http://mouse.owl#MA_0000247	utricle	1.0
http://human.owl#NCI_C33051	malleus	http://mouse.owl#MA_0001216	malleus	1.0
http://human.owl#NCI_C33069	medial vestibular nucleus	http://mouse.owl#MA_0001048	medial vestibular nucleus	1.0
http://human.owl#NCI_C33072	median vein	http://mouse.owl#MA_0002175	median vein	1.0
http://human.owl#NCI_C33075	meibomian gland	http://mouse.owl#MA_0001249	meibomian gland	1.0
http://human.owl#NCI_C33519	sebaceous gland	http://mouse.owl#MA_0002565	sebaceous gland	1.0
http://human.owl#NCI_C33083	vestibular membrane	http://mouse.owl#MA_0001200	vestibular membrane	1.0
http://human.owl#NCI_C33091	membranous urethra	http://mouse.owl#MA_0002647	membranous urethra	1.0
http://human.owl#NCI_C33105	mesothelium	http://mouse.owl#MA_0000565	mesothelium	1.0
http://human.owl#NCI_C33135	modiolus	http://mouse.owl#MA_0001182	modiolus	1.0
http://human.owl#NCI_C33157	nasal bone	http://mouse.owl#MA_0001494	nasal bone	1.0
http://human.owl#NCI_C33160	nasal septum	http://mouse.owl#MA_0000285	nasal septum	1.0
http://human.owl#NCI_C49593	nasal cartilage	http://mouse.owl#MA_0001883	nasal cartilage	1.0
http://human.owl#NCI_C33161	nasolacrimal duct	http://mouse.owl#MA_0001299	nasolacrimal duct	1.0
http://human.owl#NCI_C33429	pupil	http://mouse.owl#MA_0001292	pupil	1.0
http://human.owl#NCI_C33440	quadratus lumborum	http://mouse.owl#MA_0002362	quadratus lumborum	1.0
http://human.owl#NCI_C48821	jaw	http://mouse.owl#MA_0001905	jaw	1.0
http://human.owl#NCI_C33780	thyroid cartilage	http://mouse.owl#MA_0001764	thyroid cartilage	1.0
http://human.owl#NCI_C33709	supraspinatus	http://mouse.owl#MA_0002389	supraspinatus	1.0
http://human.owl#NCI_C33718	synovial fluid	http://mouse.owl#MA_0002544	synovial fluid	1.0
http://human.owl#NCI_C33739	tear	http://mouse.owl#MA_0002508	tear	1.0
http://human.owl#NCI_C33740	tectorial membrane	http://mouse.owl#MA_0001199	tectorial membrane	1.0
http://human.owl#NCI_C33741	temporal artery	http://mouse.owl#MA_0002061	temporal artery	1.0
http://human.owl#NCI_C33748	tensor tympani	http://mouse.owl#MA_0001221	tensor tympani	1.0
http://human.owl#NCI_C33754	terminal bronchiole	http://mouse.owl#MA_0000424	terminal bronchiole	1.0
http://human.owl#NCI_C33755	terminal bronchiole epithelium	http://mouse.owl#MA_0001774	terminal bronchiole epithelium	1.0
http://human.owl#NCI_C48942	bronchiole epithelium	http://mouse.owl#MA_0001772	bronchiole epithelium	1.0
http://human.owl#NCI_C33766	thoracic aorta	http://mouse.owl#MA_0002569	thoracic aorta	1.0
http://human.owl#NCI_C33774	thymus cortex	http://mouse.owl#MA_0000767	thymus cortex	1.0
http://human.owl#NCI_C33775	thymus medulla	http://mouse.owl#MA_0000771	thymus medulla	1.0
http://human.owl#NCI_C33781	thyroid gland capsule	http://mouse.owl#MA_0002675	thyroid gland capsule	1.0
http://human.owl#NCI_C33449	rectus abdominis	http://mouse.owl#MA_0002364	rectus abdominis	1.0
http://human.owl#NCI_C33840	urinary space	http://mouse.owl#MA_0001664	urinary space	1.0
http://human.owl#NCI_C33881	visceral pleura	http://mouse.owl#MA_0002489	visceral pleura	1.0
http://human.owl#NCI_C33885	vitreous chamber	http://mouse.owl#MA_0002461	vitreous chamber	1.0
http://human.owl#NCI_C33894	wrist joint	http://mouse.owl#MA_0000460	wrist joint	1.0
http://human.owl#NCI_C33896	zona pellucida	http://mouse.owl#MA_0001715	zona pellucida	1.0
http://human.owl#NCI_C34005	right kidney	http://mouse.owl#MA_0001683	right kidney	1.0
http://human.owl#NCI_C34006	left kidney	http://mouse.owl#MA_0001655	left kidney	1.0
http://human.owl#NCI_C38662	pericardial cavity	http://mouse.owl#MA_0000053	pericardial cavity	1.0
http://human.owl#NCI_C42079	choroid plexus epithelium	http://mouse.owl#MA_0000824	choroid plexus epithelium	1.0
http://human.owl#NCI_C43616	bile duct epithelium	http://mouse.owl#MA_0001629	bile duct epithelium	1.0
http://human.owl#NCI_C43617	intrahepatic bile duct epithelium	http://mouse.owl#MA_0002662	intrahepatic bile duct epithelium	1.0
http://human.owl#NCI_C43618	extrahepatic bile duct epithelium	http://mouse.owl#MA_0002661	extrahepatic bile duct epithelium	1.0
http://human.owl#NCI_C33708	suprarenal artery	http://mouse.owl#MA_0001914	suprarenal artery	1.0
http://human.owl#NCI_C33687	superior mesenteric vein	http://mouse.owl#MA_0002179	superior mesenteric vein	1.0
http://human.owl#NCI_C33685	superior mesenteric artery	http://mouse.owl#MA_0002005	superior mesenteric artery	1.0
http://human.owl#NCI_C33680	superior intercostal vein	http://mouse.owl#MA_0002226	superior intercostal vein	1.0
http://human.owl#NCI_C33460	renal papilla	http://mouse.owl#MA_0002730	renal papilla	1.0
http://human.owl#NCI_C33462	renal vein	http://mouse.owl#MA_0002210	renal vein	1.0
http://human.owl#NCI_C33465	respiratory bronchiole	http://mouse.owl#MA_0000423	respiratory bronchiole	1.0
http://human.owl#NCI_C33473	right common carotid artery	http://mouse.owl#MA_0001928	right common carotid artery	1.0
http://human.owl#NCI_C33476	right hepatic duct	http://mouse.owl#MA_0001639	right hepatic duct	1.0
http://human.owl#NCI_C33487	right ovary	http://mouse.owl#MA_0001705	right ovary	1.0
http://human.owl#NCI_C33489	right pulmonary artery	http://mouse.owl#MA_0002500	right pulmonary artery	1.0
http://human.owl#NCI_C33490	right subclavian artery	http://mouse.owl#MA_0002047	right subclavian artery	1.0
http://human.owl#NCI_C33491	right thyroid gland lobe	http://mouse.owl#MA_0000729	thyroid gland right lobe	1.0
http://human.owl#NCI_C33507	sacroiliac joint	http://mouse.owl#MA_0001506	sacroiliac joint	1.0
http://human.owl#NCI_C33526	segmental bronchus	http://mouse.owl#MA_0000439	segmental bronchus	1.0
http://human.owl#NCI_C33529	seminal fluid	http://mouse.owl#MA_0002523	seminal fluid	1.0
http://human.owl#NCI_C33541	sesamoid bone	http://mouse.owl#MA_0001375	sesamoid bone	1.0
http://human.owl#NCI_C33555	sinoatrial node	http://mouse.owl#MA_0000097	sinoatrial node	1.0
http://human.owl#NCI_C33581	spermatic artery	http://mouse.owl#MA_0002040	spermatic artery	1.0
http://human.owl#NCI_C33591	spinal vestibular nucleus	http://mouse.owl#MA_0001054	spinal vestibular nucleus	1.0
http://human.owl#NCI_C33599	splenic cord	http://mouse.owl#MA_0002671	splenic cord	1.0
http://human.owl#NCI_C33612	stapes	http://mouse.owl#MA_0001217	stapes	1.0
http://human.owl#NCI_C33615	sternoclavicular joint	http://mouse.owl#MA_0001507	sternoclavicular joint	1.0
http://human.owl#NCI_C33617	sternocostal joint	http://mouse.owl#MA_0001512	sternocostal joint	1.0
http://human.owl#NCI_C33648	subiculum	http://mouse.owl#MA_0000960	subiculum	1.0
http://human.owl#NCI_C33649	submandibular duct	http://mouse.owl#MA_0002698	submandibular duct	1.0
http://human.owl#NCI_C33650	subscapular artery	http://mouse.owl#MA_0002050	subscapular artery	1.0
http://human.owl#NCI_C33651	subscapularis	http://mouse.owl#MA_0002388	subscapularis	1.0
http://human.owl#NCI_C33669	superior cerebellar artery	http://mouse.owl#MA_0001934	superior cerebellar artery	1.0
http://human.owl#NCI_C52709	enteric ganglion	http://mouse.owl#MA_0001144	enteric ganglion	1.0
http://human.owl#NCI_C52711	arcuate nucleus	http://mouse.owl#MA_0000847	arcuate nucleus	1.0
http://human.owl#NCI_C32978	lentiform nucleus	http://mouse.owl#MA_0000896	lentiform nucleus	1.0
http://human.owl#NCI_C52981	middle colic artery	http://mouse.owl#MA_0002007	middle colic artery	1.0
http://human.owl#NCI_C52959	longus colli	http://mouse.owl#MA_0002341	longus colli	1.0
http://human.owl#NCI_C52961	lingual artery	http://mouse.owl#MA_0001992	lingual artery	1.0
http://human.owl#NCI_C52962	mylohyoid	http://mouse.owl#MA_0002344	mylohyoid	1.0
http://human.owl#NCI_C52968	medial plantar artery	http://mouse.owl#MA_0001997	medial plantar artery	1.0
http://human.owl#NCI_C52969	medial tarsal artery	http://mouse.owl#MA_0001998	medial tarsal artery	1.0
http://human.owl#NCI_C52970	median artery	http://mouse.owl#MA_0001999	median artery	1.0
http://human.owl#NCI_C52971	omohyoid	http://mouse.owl#MA_0002348	omohyoid	1.0
http://human.owl#NCI_C52972	omotransverse	http://mouse.owl#MA_0002349	omotransverse	1.0
http://human.owl#NCI_C52973	mental artery	http://mouse.owl#MA_0002002	mental artery	1.0
http://human.owl#NCI_C52976	parotidoauricular	http://mouse.owl#MA_0002352	parotidoauricular	1.0
http://human.owl#NCI_C52978	pectineus	http://mouse.owl#MA_0002353	pectineus	1.0
http://human.owl#NCI_C52980	dorsal metacarpal artery	http://mouse.owl#MA_0001944	dorsal metacarpal artery	1.0
http://human.owl#NCI_C52983	dorsal nasal artery	http://mouse.owl#MA_0001945	dorsal nasal artery	1.0
http://human.owl#NCI_C52954	longissimus lumborum	http://mouse.owl#MA_0002338	longissimus lumborum	1.0
http://human.owl#NCI_C52985	scalenus dorsalis	http://mouse.owl#MA_0002369	scalenus dorsalis	1.0
http://human.owl#NCI_C52986	scalenus medius	http://mouse.owl#MA_0002370	scalenus medius	1.0
http://human.owl#NCI_C52987	semimembranosus	http://mouse.owl#MA_0002371	semimembranosus	1.0
http://human.owl#NCI_C52989	semispinalis capitis	http://mouse.owl#MA_0002372	semispinalis capitis	1.0
http://human.owl#NCI_C52991	semispinalis cervicis	http://mouse.owl#MA_0002373	semispinalis cervicis	1.0
http://human.owl#NCI_C52994	perineal artery	http://mouse.owl#MA_0002017	perineal artery	1.0
http://human.owl#NCI_C52997	retinal artery	http://mouse.owl#MA_0002038	retinal artery	1.0
http://human.owl#NCI_C53000	subcostal artery	http://mouse.owl#MA_0002048	subcostal artery	1.0
http://human.owl#NCI_C53002	sublingual artery	http://mouse.owl#MA_0002049	sublingual artery	1.0
http://human.owl#NCI_C53005	superficial cervical artery	http://mouse.owl#MA_0002052	superficial cervical artery	1.0
http://human.owl#NCI_C53006	semispinalis thoracis	http://mouse.owl#MA_0002374	semispinalis thoracis	1.0
http://human.owl#NCI_C53007	serratus dorsalis caudalis	http://mouse.owl#MA_0002376	serratus dorsalis caudalis	1.0
http://human.owl#NCI_C52956	longus capitis	http://mouse.owl#MA_0002340	longus capitis	1.0
http://human.owl#NCI_C52951	lateral thoracic artery	http://mouse.owl#MA_0001989	lateral thoracic artery	1.0
http://human.owl#NCI_C52712	auditory cortex	http://mouse.owl#MA_0000942	auditory cortex	1.0
http://human.owl#NCI_C52921	flexor digitorum longus	http://mouse.owl#MA_0002299	flexor digitorum longus	1.0
http://human.owl#NCI_C52892	cleidobrachial	http://mouse.owl#MA_0002274	cleidobrachial	1.0
http://human.owl#NCI_C52893	cleidocephalic	http://mouse.owl#MA_0002275	cleidocephalic	1.0
